,CLAC3_NM,CLAC2_NM,CLAC1_NM,NUM_PD_C,NUM_CLNT_ID,NUM_CLSE_ID,NUM_BRA_NM,TOT_HITS,TOT_PROFIT,TOT_SALES,AVG_HITS,AVG_PROFIT,F,M,AGE10,AGE20,AGE30,AGE40,AGE50,AGE60,AGE70,AGE80,TOT_SESS_SEQ,TOT_PAGE_VIEW,TOT_SESS_HOUR,AVG_SESS_SEQ,AVG_PAGE_VIEW,AVG_SESS_HOUR,mobile,desktop,tablet,April,May,June,July,August,September,ZON_Daejeon,ZON_Busan,ZON_Gyeonggi-do,ZON_Seoul,ZON_Gyeongsangbuk-do,ZON_Jeollabuk-do,ZON_Chungcheongbuk-do,ZON_Gangwon-do,ZON_Chungcheongnam-do,ZON_Incheon,ZON_Daegu,ZON_Gwangju,ZON_Gyeongsangnam-do,ZON_Jeju-do,ZON_Jeollanam-do,ZON_Ulsan,CITY_Daejeon,CITY_Busan,CITY_Anyang,CITY_Seoul,CITY_Gumi-si,CITY_Buan-gun,CITY_Cheongju-si,CITY_Chuncheon-si,CITY_Cheonan-si,CITY_Incheon,CITY_Daegu,CITY_Wonju-si,CITY_Seongnam-si,CITY_Goyang-si,CITY_Gwangmyeong-si,CITY_Uijeongbu-si,CITY_Namyangju-si,CITY_Jeonju-si,CITY_Cheorwon-gun,CITY_Hwaseong-si,CITY_Gwangju,CITY_Gimhae-si,CITY_Tongyeong-si,CITY_Seogwipo-si,CITY_Ansan-si,CITY_Naju-si,CITY_Ulsan,CITY_Anseong,CITY_Gimcheon-si,CITY_Yongin-si,CITY_Namwon-si,CITY_Bucheon-si,CITY_Gunsan-si,CITY_Yeosu-si,CITY_Sacheon-si,CITY_Osan-si,CITY_Dangjin-si,CITY_Gunpo-si,CITY_Hanam-si,CITY_Gongju-si,CITY_Seocheon-gun,CITY_Yeongi-gun,CITY_Siheung-si,CITY_Paju-si,CITY_Yangsan-si,CITY_Gyeongju-si,CITY_Goseong-gun,CITY_Iksan,CITY_Yeongcheon-si,CITY_Suncheon-si,CITY_Pohang-si,CITY_Pyeongchang-gun,CITY_Suwon-si,CITY_Jincheon-gun,CITY_Nonsan-si,CITY_Mokpo-si,CITY_Muan-gun,CITY_Haman-gun,CITY_Geoje-si,CITY_Chilgok-gun,CITY_Hampyeong-gun,CITY_Gangneung-si,CITY_Ulleung-gun,CITY_Icheon-si,CITY_Chungju-si,CITY_Pyeongtaek-si,CITY_Taean-gun,CITY_Gwangju-si,CITY_Dongducheon-si,CITY_Gwangyang-si,CITY_Gimpo-si,CITY_Jeongeup-si,CITY_Hadong-gun,CITY_Uiwang-si,CITY_Jeju-si,CITY_Gyeongsan-si,CITY_Yeongju-si,CITY_Pocheon-si,CITY_Yangpyeong-gun,CITY_Donghae-si,CITY_Gwacheon-si,CITY_Uiseong-gun,CITY_Jinju-si,CITY_Yecheon-gun,CITY_Asan-si,CITY_Hwacheon-gun,CITY_Sangju-si,CITY_Seosan-si,CITY_Okcheon-gun,CITY_Gimje-si,CITY_Cheongwon-gun,CITY_Gangjin-gun,CITY_Eumseong-gun,CITY_Uljin-gun,CITY_Guri-si,CITY_Inje-gun,CITY_Boeun-gun,CITY_Andong,CITY_Boseong-gun,CITY_Yeongwol-gun,CITY_Buyeo-gun,CITY_Hongseong-gun,CITY_Hapcheon-gun,CITY_Jecheon-si,CITY_Damyang-gun,CITY_Goryeong-gun,CITY_Changnyeong-gun,CITY_Yeongyang-gun,CITY_Yeonggwang-gun,CITY_Uiryeong-gun,CITY_Samcheok-si,CITY_Namhae-gun,CITY_Jangheung-gun,CITY_Yeoncheon-gun,CITY_Mungyeong-si,CITY_Yangju-si,CITY_Jangseong-gun,CITY_Gochang-gun,CITY_Miryang-si,CITY_Boryeong-si,CITY_Yanggu-gun,CITY_Wando-gun,CITY_Jeongseon-gun,CITY_Imsil-gun,CITY_Danyang-gun,CITY_Haenam-gun,CITY_Geochang-gun,CITY_Bonghwa-gun,CITY_Sokcho-si,CITY_Muju-gun,CITY_Yeongam-gun,CITY_Yeoju-gun,CITY_Taebaek-si,CITY_Gokseong-gun,CITY_Yeongdong-gun,CITY_Jeungpyeong-gun,CITY_Hwasun-gun,CITY_Sinan-gun,CITY_Jangsu-gun,CITY_Hamyang-gun,CITY_Hongcheon-gun,CITY_Yesan-gun,CITY_Geumsan-gun,CITY_Wanju-gun,CITY_Jinan-gun,CITY_Gyeryong-si,CITY_Gapyeong-gun,CITY_Sunchang-gun,CITY_Cheongsong-gun,CITY_Seongju-gun,CITY_Goheung-gun,CITY_Yeongdeok-gun,CITY_Yangyang-gun,CITY_Sancheong-gun,CITY_Hoengseong-gun,CITY_Cheongdo-gun,CITY_Goesan-gun,CITY_Jindo-gun,CITY_Gurye-gun,CITY_Cheongyang-gun,CITY_(not set),CITY_Gunwi-gun,CITY_Masan
672,유아동슬립온,유아동화,패션잡화,1967,7112,8121,147,726806,377172580,9624,75.52,39190.83,7651.0,725.0,,232.0,5743.0,2272.0,67.0,57.0,5.0,,1366489,901646.0,14973617.0,141.99,93.69,1555.86,8530.0,1062.0,32.0,2421.0,1925.0,1443.0,612.0,971.0,2252.0,213.0,1123.0,1632.0,3112.0,390.0,333.0,181.0,211.0,351.0,311.0,458.0,246.0,552.0,130.0,184.0,197.0,213.0,1123.0,121.0,3112.0,64.0,5.0,77.0,41.0,103.0,311.0,458.0,39.0,120.0,123.0,30.0,62.0,109.0,172.0,8.0,109.0,246.0,162.0,45.0,37.0,64.0,21.0,197.0,19.0,16.0,157.0,14.0,75.0,52.0,37.0,17.0,19.0,23.0,21.0,27.0,43.0,4.0,54.0,46.0,56.0,72.0,45.0,4.0,47.0,9.0,31.0,95.0,3.0,157.0,11.0,9.0,28.0,4.0,86.0,54.0,21.0,,28.0,1.0,14.0,30.0,58.0,4.0,36.0,9.0,11.0,73.0,15.0,3.0,17.0,93.0,30.0,15.0,21.0,11.0,14.0,9.0,3.0,61.0,6.0,19.0,1.0,21.0,43.0,4.0,10.0,29.0,2.0,11.0,7.0,17.0,5.0,1.0,22.0,3.0,1.0,3.0,15.0,1.0,11.0,6.0,4.0,5.0,1.0,2.0,,15.0,3.0,6.0,1.0,8.0,25.0,7.0,2.0,23.0,15.0,3.0,6.0,2.0,2.0,1.0,4.0,11.0,3.0,15.0,3.0,2.0,11.0,17.0,2.0,5.0,1.0,7.0,1.0,4.0,4.0,11.0,7.0,3.0,4.0,3.0,6.0,15.0,,1.0,4.0,2.0,4.0,4.0,2.0,1.0,8.0,,2.0,,,,2.0,2.0
673,유아동시계,시계,패션잡화,35,92,97,14,7171,2854300,108,66.4,26428.7,87.0,7.0,,2.0,56.0,35.0,1.0,,,,21571,8096.0,146243.0,199.73,74.96,1354.1,95.0,13.0,,32.0,34.0,6.0,22.0,10.0,4.0,1.0,9.0,23.0,32.0,7.0,6.0,2.0,3.0,2.0,1.0,2.0,3.0,9.0,,7.0,1.0,1.0,9.0,1.0,32.0,2.0,,,2.0,,1.0,2.0,,1.0,,,,2.0,4.0,,,3.0,5.0,,,2.0,,1.0,,1.0,8.0,,2.0,,4.0,,2.0,,,,,,,,,,,,,,,1.0,,4.0,1.0,,2.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
674,유아동옷장,유아동가구,가구,86,211,224,27,18688,86908810,283,66.04,307098.27,207.0,19.0,,19.0,149.0,48.0,8.0,2.0,,,26372,25566.0,538455.0,93.19,90.34,1902.67,229.0,54.0,,43.0,36.0,42.0,33.0,60.0,69.0,6.0,20.0,56.0,109.0,16.0,10.0,5.0,2.0,9.0,11.0,12.0,3.0,13.0,2.0,5.0,4.0,6.0,20.0,3.0,109.0,2.0,,2.0,,1.0,11.0,12.0,2.0,7.0,3.0,,,6.0,6.0,,4.0,3.0,5.0,,1.0,,2.0,4.0,2.0,,2.0,,2.0,,,2.0,1.0,,2.0,2.0,5.0,,1.0,,2.0,1.0,6.0,,,,,7.0,,8.0,,,3.0,,4.0,1.0,,,,,,,2.0,,,2.0,,5.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,
675,유아동요/요커버,유아동침구,침구/수예,339,1118,1269,51,111064,81336190,1807,61.46,45011.73,1393.0,263.0,,100.0,1184.0,332.0,27.0,13.0,,,181405,135022.0,2651003.0,100.39,74.72,1467.07,1676.0,122.0,9.0,165.0,969.0,261.0,124.0,130.0,158.0,40.0,203.0,314.0,751.0,34.0,35.0,40.0,23.0,62.0,60.0,65.0,31.0,73.0,13.0,37.0,26.0,40.0,203.0,39.0,751.0,5.0,,22.0,5.0,10.0,60.0,65.0,10.0,29.0,30.0,5.0,8.0,15.0,14.0,,24.0,31.0,28.0,2.0,4.0,16.0,3.0,26.0,2.0,1.0,34.0,1.0,17.0,2.0,7.0,2.0,3.0,10.0,6.0,3.0,1.0,,13.0,4.0,8.0,20.0,5.0,,14.0,,7.0,11.0,1.0,26.0,1.0,1.0,11.0,,8.0,6.0,2.0,,1.0,,1.0,9.0,14.0,1.0,7.0,,2.0,13.0,4.0,,2.0,8.0,2.0,2.0,,1.0,1.0,3.0,,4.0,,14.0,,2.0,6.0,,,4.0,,1.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,1.0,,,,,,,,1.0,,2.0,1.0,1.0,,,,2.0,,,,,,,4.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,
676,유아동의자,유아동가구,가구,324,2211,2497,79,169058,450279030,3066,55.14,146862.05,2272.0,331.0,,188.0,2024.0,370.0,13.0,7.0,1.0,,240725,219126.0,4109782.0,78.51,71.47,1340.44,2683.0,377.0,6.0,695.0,496.0,513.0,440.0,478.0,444.0,76.0,315.0,622.0,1035.0,111.0,105.0,58.0,36.0,120.0,115.0,123.0,70.0,144.0,26.0,46.0,64.0,76.0,315.0,47.0,1035.0,25.0,,25.0,7.0,31.0,115.0,123.0,10.0,61.0,43.0,11.0,9.0,34.0,54.0,,65.0,70.0,62.0,4.0,2.0,36.0,3.0,64.0,9.0,3.0,53.0,3.0,33.0,9.0,16.0,2.0,10.0,13.0,12.0,7.0,10.0,1.0,18.0,27.0,11.0,26.0,15.0,,19.0,2.0,10.0,26.0,1.0,53.0,1.0,3.0,4.0,2.0,20.0,8.0,3.0,,4.0,1.0,10.0,7.0,15.0,,9.0,2.0,4.0,30.0,7.0,,5.0,24.0,9.0,5.0,4.0,4.0,7.0,2.0,,9.0,1.0,15.0,,2.0,11.0,3.0,4.0,11.0,,2.0,6.0,7.0,,,4.0,2.0,,2.0,3.0,1.0,3.0,,,2.0,2.0,,,,,,,2.0,7.0,,2.0,3.0,,3.0,2.0,,,,,5.0,1.0,4.0,,,5.0,,,6.0,,1.0,,1.0,2.0,,10.0,,6.0,,3.0,1.0,,,,1.0,,,,,3.0,,1.0,,,,1.0,
677,유아동이불/이불커버,유아동침구,침구/수예,338,957,1043,60,95215,100920130,1407,67.67,71727.17,1050.0,101.0,,54.0,814.0,245.0,26.0,12.0,,,209125,122705.0,2403422.0,148.63,87.21,1708.19,1168.0,234.0,5.0,272.0,222.0,365.0,232.0,147.0,169.0,28.0,144.0,216.0,544.0,48.0,48.0,28.0,16.0,68.0,51.0,46.0,40.0,73.0,9.0,29.0,19.0,28.0,144.0,20.0,544.0,7.0,3.0,14.0,6.0,23.0,51.0,46.0,4.0,21.0,26.0,4.0,5.0,7.0,27.0,,17.0,40.0,25.0,2.0,1.0,7.0,3.0,19.0,,,18.0,2.0,5.0,6.0,8.0,,2.0,3.0,1.0,2.0,11.0,,16.0,12.0,6.0,10.0,7.0,1.0,1.0,1.0,4.0,10.0,,22.0,,1.0,6.0,1.0,8.0,7.0,,,1.0,,3.0,5.0,6.0,,4.0,1.0,3.0,12.0,2.0,,1.0,8.0,2.0,5.0,1.0,3.0,2.0,,,6.0,,7.0,,3.0,7.0,,,6.0,,1.0,2.0,2.0,,,4.0,,,,,4.0,1.0,,,2.0,,,,,,3.0,1.0,5.0,3.0,,,6.0,,,1.0,,2.0,,,,,1.0,,,,2.0,,,1.0,,,,1.0,,,,4.0,,,4.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,
678,유아동일반스포츠바지,유아동일반스포츠의류,스포츠패션,460,1846,2041,22,278536,70061210,2742,101.58,25551.13,2039.0,206.0,6.0,20.0,1218.0,970.0,18.0,7.0,6.0,,392032,341162.0,5421912.0,142.97,124.42,1977.36,2279.0,456.0,7.0,488.0,692.0,409.0,385.0,237.0,531.0,50.0,339.0,405.0,739.0,127.0,96.0,42.0,59.0,125.0,120.0,132.0,104.0,221.0,24.0,85.0,74.0,50.0,339.0,19.0,739.0,20.0,2.0,22.0,14.0,22.0,120.0,132.0,9.0,30.0,21.0,4.0,14.0,20.0,39.0,2.0,20.0,104.0,63.0,8.0,6.0,16.0,2.0,74.0,4.0,8.0,25.0,4.0,16.0,15.0,12.0,2.0,5.0,11.0,4.0,18.0,23.0,5.0,13.0,19.0,18.0,24.0,12.0,8.0,18.0,,15.0,35.0,1.0,64.0,5.0,3.0,20.0,5.0,40.0,23.0,1.0,1.0,9.0,,4.0,5.0,23.0,,13.0,2.0,12.0,15.0,5.0,1.0,4.0,18.0,13.0,8.0,5.0,2.0,6.0,1.0,,23.0,2.0,13.0,,6.0,9.0,,2.0,5.0,,3.0,3.0,8.0,,,10.0,,,9.0,4.0,4.0,1.0,1.0,,1.0,2.0,,,4.0,1.0,,1.0,3.0,5.0,1.0,,16.0,5.0,2.0,2.0,,4.0,1.0,,5.0,1.0,1.0,,,3.0,3.0,3.0,,,3.0,,,2.0,5.0,1.0,1.0,3.0,4.0,6.0,2.0,,2.0,,1.0,1.0,1.0,2.0,,,,7.0,,,,,
679,유아동일반양말,유아동양말류,속옷/양말/홈웨어,2362,8075,9801,116,2295846,119143790,24926,92.11,4779.9,19458.0,1475.0,4.0,642.0,14399.0,5622.0,114.0,130.0,22.0,,5232882,2757620.0,45090733.0,209.94,110.63,1808.98,21576.0,3302.0,48.0,5150.0,6605.0,5323.0,2290.0,1532.0,4026.0,478.0,2833.0,5072.0,7369.0,1004.0,778.0,423.0,475.0,916.0,909.0,976.0,858.0,1380.0,165.0,697.0,593.0,478.0,2833.0,531.0,7369.0,188.0,13.0,193.0,111.0,185.0,909.0,976.0,105.0,299.0,572.0,76.0,142.0,324.0,418.0,12.0,400.0,858.0,485.0,77.0,38.0,185.0,65.0,593.0,82.0,67.0,375.0,24.0,193.0,130.0,149.0,27.0,61.0,85.0,61.0,87.0,156.0,1.0,107.0,90.0,141.0,202.0,117.0,10.0,67.0,27.0,143.0,229.0,17.0,456.0,13.0,14.0,90.0,40.0,152.0,158.0,48.0,13.0,60.0,,55.0,58.0,120.0,16.0,114.0,35.0,47.0,275.0,34.0,7.0,103.0,127.0,83.0,35.0,16.0,49.0,45.0,14.0,11.0,120.0,2.0,120.0,5.0,18.0,92.0,8.0,11.0,57.0,18.0,33.0,34.0,120.0,2.0,3.0,44.0,1.0,12.0,2.0,52.0,6.0,29.0,,3.0,3.0,2.0,18.0,6.0,31.0,1.0,13.0,12.0,19.0,75.0,6.0,9.0,66.0,42.0,28.0,22.0,1.0,12.0,,27.0,19.0,5.0,21.0,10.0,12.0,6.0,6.0,4.0,2.0,26.0,16.0,,18.0,14.0,5.0,23.0,17.0,24.0,2.0,4.0,3.0,6.0,6.0,13.0,6.0,9.0,5.0,28.0,6.0,40.0,1.0,4.0,3.0,,,4.0,2.0
680,유아동침구매트,유아동침구,침구/수예,12,41,41,4,3024,3487700,50,60.48,69754.0,36.0,4.0,,3.0,25.0,11.0,,1.0,,,8107,3504.0,79737.0,162.14,70.08,1594.74,40.0,10.0,,3.0,19.0,13.0,12.0,3.0,,2.0,7.0,6.0,14.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,,4.0,,2.0,7.0,,14.0,1.0,,,1.0,3.0,2.0,5.0,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,4.0,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,유아동침구세트,유아동침구,침구/수예,358,2271,2475,63,185290,154178590,3115,59.48,49495.53,2492.0,212.0,,230.0,2084.0,360.0,24.0,6.0,,,358203,227042.0,4507589.0,114.99,72.89,1447.06,2760.0,347.0,8.0,445.0,872.0,771.0,497.0,257.0,273.0,75.0,328.0,581.0,1004.0,103.0,97.0,79.0,74.0,130.0,116.0,123.0,80.0,172.0,27.0,77.0,49.0,75.0,328.0,29.0,1004.0,27.0,3.0,36.0,12.0,31.0,116.0,123.0,20.0,51.0,43.0,8.0,15.0,52.0,29.0,,47.0,80.0,66.0,4.0,8.0,25.0,12.0,49.0,5.0,9.0,54.0,16.0,43.0,17.0,11.0,6.0,8.0,8.0,10.0,8.0,16.0,3.0,20.0,14.0,23.0,33.0,11.0,,11.0,2.0,13.0,21.0,,47.0,3.0,3.0,15.0,1.0,36.0,7.0,3.0,,2.0,,6.0,6.0,13.0,1.0,27.0,3.0,10.0,18.0,5.0,,5.0,19.0,6.0,1.0,5.0,3.0,9.0,4.0,,14.0,2.0,31.0,,7.0,6.0,,3.0,12.0,,2.0,1.0,5.0,3.0,3.0,9.0,,,1.0,6.0,3.0,14.0,3.0,,,1.0,3.0,,2.0,,,,,6.0,,2.0,,2.0,1.0,1.0,1.0,,,,3.0,,10.0,2.0,2.0,2.0,11.0,,2.0,,2.0,3.0,1.0,,1.0,,,7.0,,,2.0,1.0,,,,1.0,2.0,,,2.0,1.0,1.0,,2.0,,,
682,유아동침구속통/솜,유아동침구,침구/수예,12,73,76,5,7290,1951500,105,69.43,18585.71,65.0,7.0,,,24.0,42.0,5.0,1.0,,,20368,8300.0,208521.0,193.98,79.05,1985.91,73.0,32.0,,28.0,16.0,8.0,24.0,8.0,21.0,3.0,10.0,17.0,35.0,8.0,10.0,2.0,3.0,2.0,5.0,1.0,,7.0,,2.0,,3.0,10.0,,35.0,,,1.0,,,5.0,1.0,,1.0,,,2.0,1.0,6.0,1.0,,,,,,,,,2.0,,2.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,6.0,,7.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,유아동침대,유아동가구,가구,347,901,1026,64,69346,481491231,1237,56.06,389241.09,858.0,170.0,,115.0,724.0,174.0,12.0,3.0,,,90302,90989.0,1885685.0,73.0,73.56,1524.4,1063.0,166.0,8.0,214.0,163.0,243.0,182.0,186.0,249.0,32.0,141.0,200.0,498.0,32.0,30.0,17.0,12.0,36.0,41.0,51.0,48.0,42.0,2.0,20.0,35.0,32.0,141.0,6.0,498.0,8.0,1.0,9.0,1.0,12.0,41.0,51.0,5.0,17.0,23.0,4.0,4.0,13.0,14.0,1.0,21.0,48.0,21.0,,2.0,8.0,1.0,35.0,,1.0,20.0,,14.0,6.0,5.0,2.0,8.0,1.0,7.0,5.0,9.0,,4.0,2.0,2.0,4.0,1.0,,2.0,2.0,5.0,6.0,,14.0,2.0,,4.0,,8.0,3.0,3.0,,2.0,,6.0,,3.0,,7.0,,4.0,8.0,,,,,5.0,1.0,,1.0,,,1.0,3.0,,5.0,,1.0,,,3.0,2.0,,,1.0,,,,2.0,,,,3.0,,1.0,,,,,,,,,,1.0,,4.0,,,,2.0,,,,,,,1.0,,,,,2.0,2.0,,,1.0,1.0,,,,,,,2.0,,,,2.0,,,,,,,1.0,,2.0,,,,,,
684,유아동침대커버/스커트,유아동침구,침구/수예,35,72,80,3,9590,6796100,139,68.99,48892.81,104.0,21.0,,13.0,94.0,17.0,1.0,,,,16224,10815.0,234308.0,116.72,77.81,1685.67,128.0,11.0,,48.0,15.0,8.0,14.0,25.0,29.0,2.0,13.0,17.0,60.0,5.0,5.0,1.0,3.0,,2.0,13.0,7.0,10.0,1.0,,,2.0,13.0,,60.0,,,,,,2.0,13.0,3.0,,,1.0,,,3.0,,2.0,7.0,2.0,,1.0,1.0,,,,,4.0,,,2.0,,3.0,,,,,,,,,,4.0,1.0,,,,,,,6.0,,,,,1.0,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,유아동타이즈,유아동양말류,속옷/양말/홈웨어,1216,4123,4760,91,713112,100096270,7029,101.45,14240.47,5607.0,356.0,,149.0,4227.0,1493.0,72.0,22.0,,,1299895,850763.0,13218910.0,184.93,121.04,1880.62,6101.0,908.0,20.0,1687.0,1689.0,813.0,430.0,576.0,1834.0,160.0,778.0,1215.0,2340.0,268.0,311.0,131.0,97.0,219.0,229.0,335.0,196.0,384.0,51.0,166.0,149.0,160.0,778.0,73.0,2340.0,34.0,6.0,62.0,17.0,69.0,229.0,335.0,26.0,102.0,94.0,26.0,21.0,91.0,151.0,6.0,95.0,196.0,120.0,20.0,16.0,52.0,10.0,149.0,17.0,12.0,93.0,7.0,96.0,43.0,40.0,11.0,6.0,7.0,18.0,17.0,31.0,3.0,41.0,30.0,33.0,61.0,19.0,5.0,76.0,15.0,27.0,59.0,3.0,109.0,6.0,6.0,27.0,2.0,48.0,43.0,6.0,2.0,12.0,,16.0,17.0,46.0,1.0,25.0,7.0,22.0,65.0,4.0,4.0,6.0,35.0,41.0,13.0,7.0,16.0,8.0,6.0,6.0,38.0,4.0,25.0,1.0,13.0,8.0,1.0,1.0,18.0,3.0,5.0,6.0,24.0,,3.0,20.0,,,1.0,5.0,4.0,13.0,2.0,1.0,2.0,,,2.0,9.0,,,2.0,2.0,12.0,1.0,,6.0,15.0,3.0,,,,,8.0,3.0,3.0,5.0,4.0,7.0,8.0,4.0,5.0,1.0,3.0,3.0,,5.0,13.0,2.0,2.0,,13.0,1.0,1.0,2.0,,,2.0,,9.0,,4.0,1.0,3.0,2.0,3.0,4.0,4.0,,,
686,유아동트레이닝복,유아동일반스포츠의류,스포츠패션,513,3016,3338,22,414245,159703450,4440,93.3,35969.25,3421.0,346.0,4.0,71.0,1992.0,1638.0,38.0,18.0,6.0,,661832,500603.0,8036208.0,149.06,112.75,1809.96,3817.0,609.0,14.0,690.0,615.0,649.0,850.0,554.0,1082.0,124.0,515.0,727.0,1314.0,224.0,151.0,85.0,87.0,145.0,199.0,195.0,142.0,285.0,44.0,108.0,95.0,124.0,515.0,34.0,1314.0,37.0,,27.0,7.0,43.0,199.0,195.0,27.0,41.0,73.0,10.0,26.0,64.0,81.0,2.0,66.0,142.0,100.0,16.0,10.0,17.0,10.0,95.0,6.0,11.0,53.0,6.0,34.0,24.0,24.0,6.0,15.0,13.0,7.0,16.0,15.0,,17.0,30.0,41.0,37.0,16.0,6.0,22.0,6.0,8.0,64.0,1.0,68.0,5.0,2.0,32.0,6.0,38.0,27.0,10.0,,18.0,1.0,4.0,13.0,27.0,8.0,10.0,3.0,4.0,31.0,7.0,2.0,7.0,34.0,14.0,10.0,5.0,3.0,2.0,4.0,1.0,25.0,1.0,10.0,1.0,4.0,13.0,1.0,2.0,23.0,3.0,,7.0,15.0,5.0,,5.0,,2.0,1.0,7.0,2.0,9.0,2.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,,5.0,6.0,8.0,,,7.0,5.0,1.0,3.0,,3.0,2.0,4.0,11.0,,4.0,1.0,,1.0,5.0,,5.0,,2.0,,,1.0,4.0,4.0,4.0,5.0,,3.0,3.0,,,6.0,,12.0,2.0,,1.0,1.0,,6.0,2.0,,,3.0,
687,유아동패드/스프레드,유아동침구,침구/수예,45,258,276,15,25497,11359250,392,65.04,28977.68,271.0,37.0,2.0,8.0,161.0,111.0,23.0,3.0,,,45725,30169.0,691428.0,116.65,76.96,1763.85,311.0,79.0,2.0,42.0,61.0,59.0,79.0,71.0,80.0,16.0,39.0,71.0,124.0,5.0,10.0,10.0,6.0,14.0,35.0,20.0,7.0,23.0,5.0,3.0,4.0,16.0,39.0,7.0,124.0,,,6.0,2.0,4.0,35.0,20.0,3.0,7.0,5.0,3.0,,5.0,6.0,,4.0,7.0,7.0,1.0,,3.0,,4.0,2.0,,11.0,,3.0,2.0,2.0,,,1.0,2.0,,1.0,,3.0,4.0,3.0,1.0,,,1.0,,,2.0,,5.0,,,1.0,,3.0,,,,,,1.0,,,,,,,1.0,1.0,,1.0,5.0,,2.0,1.0,1.0,1.0,,,10.0,,2.0,,1.0,3.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,유아동팬티,유아동속옷,속옷/양말/홈웨어,2785,9153,10837,78,2186878,265238550,22490,97.24,11793.62,17010.0,1405.0,5.0,100.0,10113.0,7841.0,199.0,147.0,10.0,,4509874,2635910.0,40552923.0,200.53,117.2,1803.15,18862.0,3563.0,65.0,4087.0,3971.0,4423.0,3812.0,3588.0,2609.0,554.0,2754.0,3745.0,6887.0,985.0,769.0,347.0,387.0,772.0,834.0,960.0,762.0,1436.0,145.0,564.0,589.0,554.0,2754.0,302.0,6887.0,146.0,13.0,211.0,88.0,183.0,834.0,960.0,99.0,229.0,453.0,20.0,95.0,260.0,429.0,25.0,238.0,762.0,630.0,53.0,39.0,117.0,58.0,589.0,39.0,65.0,322.0,22.0,184.0,95.0,88.0,16.0,32.0,39.0,75.0,57.0,106.0,6.0,134.0,101.0,132.0,134.0,109.0,13.0,92.0,49.0,110.0,243.0,13.0,400.0,6.0,18.0,87.0,27.0,218.0,126.0,16.0,3.0,44.0,3.0,35.0,32.0,99.0,21.0,71.0,18.0,24.0,213.0,29.0,1.0,42.0,106.0,65.0,26.0,31.0,36.0,20.0,9.0,5.0,102.0,12.0,102.0,,45.0,83.0,4.0,17.0,65.0,10.0,13.0,34.0,72.0,7.0,2.0,82.0,,6.0,9.0,31.0,13.0,6.0,9.0,2.0,10.0,9.0,6.0,4.0,14.0,11.0,5.0,5.0,19.0,38.0,21.0,4.0,57.0,3.0,22.0,19.0,2.0,6.0,,22.0,41.0,13.0,14.0,9.0,3.0,6.0,21.0,5.0,,6.0,24.0,2.0,5.0,6.0,3.0,5.0,13.0,34.0,6.0,16.0,14.0,8.0,3.0,7.0,20.0,17.0,6.0,1.0,2.0,11.0,2.0,17.0,4.0,3.0,,4.0,1.0
